Class: Racer

Rank,Car_ID,Year,Make,Model,Score
104,8,1991,Nissan,Skyline,12
105,22,2007,Honda,Civic,12
106,48,2015,Acura,TLX,12
107,81,2016,Volkswagen,GTI,12
108,134,2013,Subaru,WRX,12
109,137,2017,Ford,Focus rs,12
110,176,2014,Mitsu,Lancer,12
111,225,2016,Acura,TLX,12
112,232,2018,Subaru,WRX,12
113,1051,2006,Acura,Tsx,12
114,33,2015,Subaru,Sti,14
115,35,2016,Honda,Civic,14
116,37,2015,Subaru,Sti,14
117,38,2017,Hyundai,Elantra sport,14
118,57,2015,Scion,Frs,14
119,78,2015,Mazda,6,14
120,84,2012,Mercedes,Cl63amg,14
121,88,2008,Honda,Accord,14
122,92,2017,Hyundai,Elantra sport,14
123,118,1993,Honda,Civic,14
124,178,2009,Honda,Oddesy,14
125,12,1990,Nissan,240,16
126,21,2009,Subaru,WRX,16
127,24,2013,Subaru,BRZ,16
128,36,2016,Subaru,WRX,16
129,41,2012,Acura,Tsx,16
130,43,2011,Toyota,4 Runner,16
131,53,2013,Subaru,WRX,16
132,85,2017,Honda,Accord,16
133,115,2001,Honda,Crv,16
134,158,2007,Nissan,350z,16
135,211,2004,Acura,Tsx,16
136,228,2010,Nissan,370,16
137,23,1998,Subaru,Legacy,18
138,39,2011,Honda,Civic,18
139,103,2010,Acura,Tsx,18
140,121,2012,Acura,TL,18
141,170,2014,Chevy,Cruze,18
142,222,2015,Lexus,Is250,18
143,3,2011,Nissan,370,20
144,30,2012,Hyundai,Celoster,20
145,63,2010,Honda,Civic,20
146,106,2007,Acura,Tl type s,20
147,153,2017,Subaru,Brz,20
148,216,2007,Chrystler,300,20
149,25,2012,Mercedes,C250,22
150,65,2009,Honda,Fit,22
151,175,2006,Honda,Civic,22
152,13,2016,Honda,Civic 1.5t,24
153,31,2007,Honda,Fit,24
154,91,2010,Mitsu,Lancer,24
155,110,2011,Toyota,Camry,24
156,127,2013,Acura,Tsx,24
157,156,2014,Volkswagen,Gli,24
158,161,2012,Nissan,370z,24
159,126,2010,Volkswagen,Eos,26
160,128,2010,Infiniti,G37,26
161,180,2011,Volkswagen,Gti,26
162,15,2014,Audi,S4,28
163,50,2015,Acura,TLX,28
164,83,2014,Honda,Accord,28
165,112,2008,Acura,TL,28
166,113,2012,Acura,Tsx sportwagon,30
167,124,2015,Jeep,Wrangler,30

Class: Mods 

Rank,Car_ID,Year,Make,Model,Score
1,Vip,2008,Volkswagen,Gli,0
2,0,2015,Chevy,Camaro,0
3,70,2014,Honda,Civic,0
4,101,2014,Honda,Civic,0
5,111,2007,Bmw,328i,0
6,237,1987,Volkswagen,Jetta,0
7,1,2012,Subaru,WRX,2
8,16,2008,Nissan,350z,2
9,42,2001,Dodge,Viper,2
10,66,2010,Volkswagen,Gti,2
